"mature_mirna_id","hgnc_symbol"
"hsa-miR-375","GPR157"
"hsa-miR-375","UXS1"
"hsa-miR-375","GKAP1"
"hsa-miR-375","LIMD2"
"hsa-miR-375","APH1B"
"hsa-miR-375","TAF3"
"hsa-miR-375","KCTD10"
"hsa-miR-375","DCTN5"
"hsa-miR-375","EBPL"
"hsa-miR-375","RPUSD4"
"hsa-miR-375","TMTC4"
"hsa-miR-375","SLC35B4"
"hsa-miR-375","ZFHX2"
"hsa-miR-375","DISP2"
"hsa-miR-375","TRMT10A"
"hsa-miR-375","MED8"
"hsa-miR-375","CYP2U1"
"hsa-miR-375","PIK3IP1"
"hsa-miR-375","VASN"
"hsa-miR-375","BATF2"
"hsa-miR-375","NUS1"
"hsa-miR-375","COX20"
"hsa-miR-375","LSM12"
"hsa-miR-375","TPRG1L"
"hsa-miR-375","GALM"
"hsa-miR-375","GRPEL2"
"hsa-miR-375","UBLCP1"
"hsa-miR-375","MTPN"
"hsa-miR-375","GSC"
"hsa-miR-375","TTC7B"
"hsa-miR-375","SAMD11"
"hsa-miR-375","VPS37D"
"hsa-miR-375","ANKRD46"
"hsa-miR-375","SPRED1"
"hsa-miR-375","SGMS2"
"hsa-miR-375","KLHDC8B"
"hsa-miR-375","REEP3"
"hsa-miR-375","AQP11"
"hsa-miR-375","CCDC88B"
"hsa-miR-375","TMEM145"
"hsa-miR-375","SLC25A42"
"hsa-miR-375","DOK7"
"hsa-miR-375","CEP57L1"
"hsa-miR-375","METTL2A"
"hsa-miR-375","ESPNL"
"hsa-miR-375","ZNF404"
"hsa-miR-375","SKA2"
"hsa-miR-375","FAM89A"
"hsa-miR-375","SPOP"
"hsa-miR-375","PUDP"
"hsa-miR-375","RIDA"
"hsa-miR-375","KMT5A"
"hsa-miR-375","JPT1"
"hsa-miR-375","CIAO2A"
"hsa-miR-375","DGLUCY"
"hsa-miR-375","CCN2"
"hsa-miR-375","PIP4P2"
"hsa-miR-375","CIP2A"
"hsa-miR-375","MIR17HG"
"hsa-miR-137","HOXC8"
"hsa-miR-137","E2F6"
"hsa-miR-137","NCOA2"
"hsa-miR-137","CDC42"
"hsa-miR-137","PTGS2"
"hsa-miR-137","BNIP3L"
"hsa-miR-137","CSE1L"
"hsa-miR-137","CTBP1"
"hsa-miR-137","DBN1"
"hsa-miR-137","ESRRA"
"hsa-miR-137","GLO1"
"hsa-miR-137","YBX1"
"hsa-miR-137","PAK2"
"hsa-miR-137","RNF4"
"hsa-miR-137","RORA"
"hsa-miR-137","SLC1A5"
"hsa-miR-137","CUL4A"
"hsa-miR-137","EIF1"
"hsa-miR-137","GLIPR1"
"hsa-miR-137","LIMCH1"
"hsa-miR-137","KDM1A"
"hsa-miR-137","SPCS3"
"hsa-miR-137","UBE2Z"
"hsa-miR-137","PTGES2"
"hsa-miR-137","SLX4"
"hsa-miR-137","FMNL2"
"hsa-miR-137","DCLK1"
"hsa-miR-137","H3-5"
"hsa-miR-137","ITPRID2"
"hsa-miR-137","TENT4A"
"hsa-miR-137","H3-3B"
"hsa-miR-137","MARCHF9"
"hsa-miR-147b","COL4A2"
"hsa-miR-147b","MCM3"
"hsa-miR-147b","NDUFA4"
"hsa-miR-147b","CEP170B"
"hsa-miR-147b","SDHD"
"hsa-miR-190b","ZNF264"
"hsa-miR-190b","MTMR6"
"hsa-miR-190b","MED4"
"hsa-miR-190b","ZNF850"
"hsa-miR-217","PTEN"
"hsa-miR-217","SMAD7"
"hsa-miR-217","TMSB4X"
"hsa-miR-217","FXR1"
"hsa-miR-217","SLC4A2"
"hsa-miR-217","ADSS2"
"hsa-miR-375","VEZT"
"hsa-miR-375","SLC7A6"
"hsa-miR-375","NETO2"
"hsa-miR-375","SERP1"
"hsa-miR-375","CHSY1"
"hsa-miR-375","PTPN12"
"hsa-miR-375","DNMT3B"
"hsa-miR-375","FAM3C"
"hsa-miR-375","SESN1"
"hsa-miR-375","CFL2"
"hsa-miR-375","BAK1"
"hsa-miR-375","MYC"
"hsa-miR-375","TGFB2"
"hsa-miR-375","LITAF"
"hsa-miR-375","CDCA7L"
"hsa-miR-375","CTDSP2"
"hsa-miR-375","BAZ1A"
"hsa-miR-375","INSIG2"
"hsa-miR-375","MKRN1"
"hsa-miR-375","HERPUD1"
"hsa-miR-375","MYBL1"
"hsa-miR-375","CARD8"
"hsa-miR-375","IGFBP3"
"hsa-miR-375","CDC42"
"hsa-miR-375","CASP3"
"hsa-miR-375","CTSC"
"hsa-miR-375","JAG1"
"hsa-miR-375","YWHAZ"
"hsa-miR-375","SET"
"hsa-miR-375","MR1"
"hsa-miR-375","GATA6"
"hsa-miR-375","ODF2"
"hsa-miR-375","TBX19"
"hsa-miR-375","NCAM1"
"hsa-miR-375","PARP1"
"hsa-miR-375","BIRC3"
"hsa-miR-375","C1QBP"
"hsa-miR-375","CALU"
"hsa-miR-375","CDKN2B"
"hsa-miR-375","CDR2"
"hsa-miR-375","CHGB"
"hsa-miR-375","CPOX"
"hsa-miR-375","CSTF2"
"hsa-miR-375","DLG4"
"hsa-miR-375","DPYSL3"
"hsa-miR-375","DUSP6"
"hsa-miR-375","DUT"
"hsa-miR-375","EFNB2"
"hsa-miR-375","EMP1"
"hsa-miR-375","EXT1"
"hsa-miR-375","F3"
"hsa-miR-375","FAH"
"hsa-miR-375","FKBP1A"
"hsa-miR-375","IFI6"
"hsa-miR-375","GOLGA4"
"hsa-miR-375","RAPGEF1"
"hsa-miR-375","HSP90AA1"
"hsa-miR-375","SP110"
"hsa-miR-375","IFIT1"
"hsa-miR-375","ITGB1"
"hsa-miR-375","KCNN4"
"hsa-miR-375","KHK"
"hsa-miR-375","KRT8"
"hsa-miR-375","LDHB"
"hsa-miR-375","LRP5"
"hsa-miR-375","OTX1"
"hsa-miR-375","PRDX1"
"hsa-miR-375","PPP1R2"
"hsa-miR-375","PTPN1"
"hsa-miR-375","RAB3B"
"hsa-miR-375","RAB6A"
"hsa-miR-375","RBBP8"
"hsa-miR-375","RCN2"
"hsa-miR-375","RPN1"
"hsa-miR-375","RPN2"
"hsa-miR-375","RTN2"
"hsa-miR-375","SLC6A6"
"hsa-miR-375","SNAPC1"
"hsa-miR-375","SNRPA1"
"hsa-miR-375","STX3"
"hsa-miR-375","TFRC"
"hsa-miR-375","TGM2"
"hsa-miR-375","TNNI3"
"hsa-miR-375","USP1"
"hsa-miR-375","PTP4A2"
"hsa-miR-375","FZD4"
"hsa-miR-375","EEA1"
"hsa-miR-375","DGKD"
"hsa-miR-375","B3GALNT1"
"hsa-miR-375","TNFSF13"
"hsa-miR-375","PEX11B"
"hsa-miR-375","ASAP2"
"hsa-miR-375","CLDN1"
"hsa-miR-375","USP10"
"hsa-miR-375","EXO1"
"hsa-miR-375","EBAG9"
"hsa-miR-375","ZBED1"
"hsa-miR-375","XPR1"
"hsa-miR-375","NOLC1"
"hsa-miR-375","EFTUD2"
"hsa-miR-375","RAB28"
"hsa-miR-375","AKAP7"
"hsa-miR-375","PIGB"
"hsa-miR-375","RAB3D"
"hsa-miR-375","VGLL4"
"hsa-miR-375","SNPH"
"hsa-miR-375","MLEC"
"hsa-miR-375","KIAA0513"
"hsa-miR-375","RIMS3"
"hsa-miR-375","DAZAP2"
"hsa-miR-375","ARHGAP11A"
"hsa-miR-375","WDR1"
"hsa-miR-375","SLC25A15"
"hsa-miR-375","LHFPL2"
"hsa-miR-375","FSTL3"
"hsa-miR-375","RRAGB"
"hsa-miR-375","TIMM17A"
"hsa-miR-375","HOXB13"
"hsa-miR-375","SEC23A"
"hsa-miR-375","CREB3"
"hsa-miR-375","SEMA3C"
"hsa-miR-375","PROCR"
"hsa-miR-375","SUB1"
"hsa-miR-375","PRDX3"
"hsa-miR-375","RASSF8"
"hsa-miR-375","COG2"
"hsa-miR-375","DNAJC8"
"hsa-miR-375","SLC4A1AP"
"hsa-miR-375","NT5C2"
"hsa-miR-375","STK38L"
"hsa-miR-375","DCUN1D4"
"hsa-miR-375","PSME4"
"hsa-miR-375","IQCE"
"hsa-miR-375","RPGRIP1L"
"hsa-miR-375","DPY19L1"
"hsa-miR-375","RHOQ"
"hsa-miR-375","HEY1"
"hsa-miR-375","LEPROTL1"
"hsa-miR-375","SUZ12"
"hsa-miR-375","GTPBP4"
"hsa-miR-375","ARL2BP"
"hsa-miR-375","SH3BP4"
"hsa-miR-375","DNAJC2"
"hsa-miR-375","ANKRD1"
"hsa-miR-375","MAT2B"
"hsa-miR-375","CCDC59"
"hsa-miR-375","NRBP1"
"hsa-miR-375","TMED5"
"hsa-miR-375","RDH11"
"hsa-miR-375","NAGPA"
"hsa-miR-375","CRIM1"
"hsa-miR-375","NELFCD"
"hsa-miR-375","GDAP1"
"hsa-miR-375","NLE1"
"hsa-miR-375","TMX3"
"hsa-miR-375","EXOC6"
"hsa-miR-375","PPP2R3C"
"hsa-miR-375","RMDN3"
"hsa-miR-375","APPL2"
"hsa-miR-375","NAT10"
"hsa-miR-375","TMEM74B"
"hsa-miR-375","AGPAT5"
"hsa-miR-375","STAP2"
"hsa-miR-375","CCDC88A"
"hsa-miR-375","ENAH"
"hsa-miR-375","METTL2B"
"hsa-miR-375","NXT2"
"hsa-miR-375","NSFL1C"
"hsa-miR-375","KLHL7"
"hsa-miR-375","PDGFC"
"hsa-miR-375","BDH2"
"hsa-miR-375","IFT46"
"hsa-miR-375","PHTF2"
"hsa-miR-375","PBXIP1"
"hsa-miR-375","IFT80"
"hsa-miR-375","GATAD1"
"hsa-miR-375","RAP2C"
"hsa-miR-375","ENOPH1"
"hsa-miR-375","ABHD4"
"hsa-miR-375","RRAGC"
"hsa-miR-375","TNS3"
"hsa-miR-375","MAPKAP1"
"hsa-miR-375","CHPF"
"hsa-miR-375","PPCS"
"hsa-miR-375","BBS10"
"hsa-miR-375","ZDHHC11"
"hsa-miR-375","LPCAT1"
"hsa-miR-375","GPR157"
"hsa-miR-375","UXS1"
"hsa-miR-375","GKAP1"
"hsa-miR-375","LIMD2"
"hsa-miR-375","APH1B"
"hsa-miR-375","TAF3"
"hsa-miR-375","KCTD10"
"hsa-miR-375","DCTN5"
"hsa-miR-375","EBPL"
"hsa-miR-375","RPUSD4"
"hsa-miR-375","TMTC4"
"hsa-miR-375","SLC35B4"
"hsa-miR-375","ZFHX2"
"hsa-miR-375","DISP2"
"hsa-miR-375","TRMT10A"
"hsa-miR-375","MED8"
"hsa-miR-375","CYP2U1"
"hsa-miR-375","PIK3IP1"
"hsa-miR-375","VASN"
"hsa-miR-375","BATF2"
"hsa-miR-375","NUS1"
"hsa-miR-375","COX20"
"hsa-miR-375","LSM12"
"hsa-miR-375","TPRG1L"
"hsa-miR-375","GALM"
"hsa-miR-375","GRPEL2"
"hsa-miR-375","UBLCP1"
"hsa-miR-375","MTPN"
"hsa-miR-375","GSC"
"hsa-miR-375","TTC7B"
"hsa-miR-375","SAMD11"
"hsa-miR-375","VPS37D"
"hsa-miR-375","ANKRD46"
"hsa-miR-375","SPRED1"
"hsa-miR-375","SGMS2"
"hsa-miR-375","KLHDC8B"
"hsa-miR-375","REEP3"
"hsa-miR-375","AQP11"
"hsa-miR-375","CCDC88B"
"hsa-miR-375","TMEM145"
"hsa-miR-375","SLC25A42"
"hsa-miR-375","DOK7"
"hsa-miR-375","CEP57L1"
"hsa-miR-375","METTL2A"
"hsa-miR-375","ESPNL"
"hsa-miR-375","ZNF404"
"hsa-miR-375","SKA2"
"hsa-miR-375","FAM89A"
"hsa-miR-375","SPOP"
"hsa-miR-375","PUDP"
"hsa-miR-375","RIDA"
"hsa-miR-375","KMT5A"
"hsa-miR-375","JPT1"
"hsa-miR-375","CIAO2A"
"hsa-miR-375","DGLUCY"
"hsa-miR-375","CCN2"
"hsa-miR-375","PIP4P2"
"hsa-miR-375","CIP2A"
"hsa-miR-375","MIR17HG"
"hsa-miR-520b","CDKN1A"
"hsa-let-7a-5p","THBS1"
"hsa-let-7a-5p","ZNF264"
"hsa-let-7a-5p","E2F6"
"hsa-let-7a-5p","CDKN1A"
"hsa-let-7a-5p","TUSC2"
"hsa-let-7a-5p","SESN1"
"hsa-let-7a-5p","CFL2"
"hsa-let-7a-5p","MYC"
"hsa-let-7a-5p","IGF2BP1"
"hsa-let-7a-5p","HMGA2"
"hsa-let-7a-5p","CCNG1"
"hsa-let-7a-5p","NME4"
"hsa-let-7a-5p","ECHDC1"
"hsa-let-7a-5p","CDC34"
"hsa-let-7a-5p","CASP3"
"hsa-let-7a-5p","SOCS1"
"hsa-let-7a-5p","APP"
"hsa-let-7a-5p","PRDM1"
"hsa-let-7a-5p","TGFBR3"
"hsa-let-7a-5p","POLR3D"
"hsa-let-7a-5p","AURKB"
"hsa-let-7a-5p","ATP2B1"
"hsa-let-7a-5p","ATP6V1B2"
"hsa-let-7a-5p","YWHAZ"
"hsa-let-7a-5p","AGO2"
"hsa-let-7a-5p","LEFTY1"
"hsa-let-7a-5p","PTP4A1"
